Title,Title_link,rev_wrap,Field1,Field2,Field2_link,Field3
Err on the side of caution,https://www.tripadvisor.com/ShowUserReviews-g186338-d1016181-r189919306-Tibits-London_England.html,Date of visit: December 2013,I was expecting big things from this restaurant after reading all the rave reviews. We went for dinner here on a Thursday evening and wish we had come for lunch. Although there were quite a few things to choose from there weren't many with substance...More,Err on the side of caution,https://www.tripadvisor.com/ShowUserReviews-g186338-d1016181-r189919306-Tibits-London_England.html,"I was expecting big things from this restaurant after reading all the rave reviews. We went for dinner here on a Thursday evening and wish we had come for lunch. Although there were quite a few things to choose from there weren't many with substance ie lots of 'salads' but only 2/3 main meal assortments (lasagne, wedges, tagine). I simply filled my plate up as I was pretty hungry and my partner erred on the side of caution and ended up with half a plate of food but with drinks it still came to £28. The drinks were very delicious but a little on the small side and I believe the food was a bit too expensive for what it was. It was tasty (if not a little dry after being under the food lamps a little too long) but didn't keep me full for very long. Had to stop for Ben's cookie on the way home!"
Good for veggies but gets boring,https://www.tripadvisor.com/ShowUserReviews-g186338-d1016181-r189758653-Tibits-London_England.html,,"I discovered tibits when I was a veggie. I loved it and often bought my lunch here with a taste card for a 50% discount. It can be quite expensive without the card. 

Over the years, I have gradually gone off tibits. Choices do not...More",Good for veggies but gets boring,https://www.tripadvisor.com/ShowUserReviews-g186338-d1016181-r189758653-Tibits-London_England.html,"I discovered tibits when I was a veggie. I loved it and often bought my lunch here with a taste card for a 50% discount. It can be quite expensive without the card. Over the years, I have gradually gone off tibits. Choices do not vary often and it's often quite bland. They're are a couple of item that are v good but the hot dishes need to be revamped I think. But for veggies, who are limited in choice have a vast playground on options here.It's a nice place to go with friends. And has nice outdoor seating for the summer."
Love it and will continue loving it!,https://www.tripadvisor.com/ShowUserReviews-g186338-d1016181-r189207395-Tibits-London_England.html,,"My husband and I stumbled upon tibits in Bern last July.  We thought what a nice place for healthy food! We were there for lunch and dinner that same day!  Then when visiting Zurich, we asked for food recommendations from a chocolotier, and she recommended...More",Love it and will continue loving it!,https://www.tripadvisor.com/ShowUserReviews-g186338-d1016181-r189207395-Tibits-London_England.html,"My husband and I stumbled upon tibits in Bern last July. We thought what a nice place for healthy food! We were there for lunch and dinner that same day! Then when visiting Zurich, we asked for food recommendations from a chocolotier, and she recommended Hiltl. When we finally found it and went in, lo and behold, to our delight it was the same restaurant as tibits. Crazy as this may sound, on a train transit from luzern to Austria a few days later, we actually sprint from the station just to get our healthy fix from Hiltl. Now that we're in London, we just had to look for tibits again! By the way, we're not vegetarians and that's how much we love it!"
Just as good as the 1 in Zurich!,https://www.tripadvisor.com/ShowUserReviews-g186338-d1016181-r189151813-Tibits-London_England.html,,"After discovering Tibits in Zurich in August my wife and I just had to go to the one in London. Great veggie buffet, relaxed atmosphere, good drinks. Basically we love this place and I'm not even a vegetarian! Wish they'd open one in Birmingham!",Just as good as the 1 in Zurich!,https://www.tripadvisor.com/ShowUserReviews-g186338-d1016181-r189151813-Tibits-London_England.html,"After discovering Tibits in Zurich in August my wife and I just had to go to the one in London. Great veggie buffet, relaxed atmosphere, good drinks. Basically we love this place and I'm not even a vegetarian! Wish they'd open one in Birmingham!"
Great selection of Vegetarian and Vegan food in lovely Atmosphere,https://www.tripadvisor.com/ShowUserReviews-g186338-d1016181-r188863298-Tibits-London_England.html,Date of visit: December 2013,"Tibits is an offshoot of the oldest Vegetarian restaurant in Europe which is based in Zurich and the Tibits chain now has branches in Switzerland, Germany and London. Based in a light and airy building just off Regent Street, the interior is stylish and the...More",Great selection of Vegetarian and Vegan food in lovely Atmosphere,https://www.tripadvisor.com/ShowUserReviews-g186338-d1016181-r188863298-Tibits-London_England.html,"Tibits is an offshoot of the oldest Vegetarian restaurant in Europe which is based in Zurich and the Tibits chain now has branches in Switzerland, Germany and London. Based in a light and airy building just off Regent Street, the interior is stylish and the atmosphere friendly and welcoming. It works on a buffet style. Take a plate and then walk around the large buffet, choosing as you go. There are several hot dishes which change daily - on the day we went there was lasagne, gnocchi, onion rings, chillies stuffed with cheese, a stew of carrot and plums (fab), plus more. Below are seemingly hundreds of salads including; carrot salad, celeriac coleslaw, great hummus, Beetroot, green salads, a mix of soy beans, broccoli and mange tout in a lovely dressing. I could go on. There are breads too. You take your plate to the counter where you pay by weight and also order drinks of which there is an amazing selection if teas, coffees, juices, wine and cocktails. You can come back for more and there are desserts too. A great place, conveniently located, lots of choice and it doesn't feel as if you're ""missing out"" even if you eat meat. There are Vegan days too. Will definitely be going there lots."
Disappointed,https://www.tripadvisor.com/ShowUserReviews-g186338-d1016181-r188304813-Tibits-London_England.html,Date of visit: December 2013,Well me and my very close friend are always good customers of tibits and we were very disappointed and disgusted at the customer service we had received from a manager! We had paid for our dinner over £30 and sat outside and I happened to...More,Disappointed,https://www.tripadvisor.com/ShowUserReviews-g186338-d1016181-r188304813-Tibits-London_England.html,"Well me and my very close friend are always good customers of tibits and we were very disappointed and disgusted at the customer service we had received from a manager! We had paid for our dinner over £30 and sat outside and I happened to have some breadsticks in my bag and thought I didn't want to waste them so we had them with our food. Half way through a manager stepped out and approached us in the most unprofessional manner, was so rude. I had told her I totally understand but I would have liked it if you had spoken to us in a more approachable way, in which she refused to apologies and walked off and told us that next time she's on a shift and we are here we ""better remove ourselves from here"". As a manager I feel like this was resolved in such a disgusting way over some breadsticks, if she had explained properly then I would not be offended. I'm totally disappointed as this was our most visited restaurant after work."
,,,,,,
Great place for Vegans!,https://www.tripadvisor.com/ShowUserReviews-g186338-d1016181-r188076853-Tibits-London_England.html,Date of visit: December 2013,"It is always a challenge to find a place with a good selection of food for vegans in a foreign city. London, like many other big cities in the world, is definitely getting better. In this restaurant (self-service yet high quality food) vegan dishes are...More",Great place for Vegans!,https://www.tripadvisor.com/ShowUserReviews-g186338-d1016181-r188076853-Tibits-London_England.html,"It is always a challenge to find a place with a good selection of food for vegans in a foreign city. London, like many other big cities in the world, is definitely getting better. In this restaurant (self-service yet high quality food) vegan dishes are thankfully very clearly marked and there are plenty of them! Loved the food, and also enjoyed a good coffee with steamed Soy milk, and an excellent vegan cake."
Brilliant food,https://www.tripadvisor.com/ShowUserReviews-g186338-d1016181-r187815713-Tibits-London_England.html,Date of visit: December 2013,I could not believe my taste buds it could not vegetarian absolutely amazing food excellent staff friendly what else can I say just go,Brilliant food,https://www.tripadvisor.com/ShowUserReviews-g186338-d1016181-r187815713-Tibits-London_England.html,I could not believe my taste buds it could not vegetarian absolutely amazing food excellent staff friendly what else can I say just go
At last a really good Vegetarian Restaurant,https://www.tripadvisor.com/ShowUserReviews-g186338-d1016181-r187670993-Tibits-London_England.html,Date of visit: December 2013,"Had two lovely meals there Lunch and Dinner. Great service, Lovely food , everything here was high standard. Go to their Website and read about them . Would highly recommend. Staff were lovely and highly motivated.",At last a really good Vegetarian Restaurant,https://www.tripadvisor.com/ShowUserReviews-g186338-d1016181-r187670993-Tibits-London_England.html,"Had two lovely meals there Lunch and Dinner. Great service, Lovely food , everything here was high standard. Go to their Website and read about them . Would highly recommend. Staff were lovely and highly motivated."
Veggie temptation,https://www.tripadvisor.com/ShowUserReviews-g186338-d1016181-r187474305-Tibits-London_England.html,>,One of the best vegetarian i have ever had in my entire life. I was living in london in the midle of this year and i think i had gone to Tibits once in a week during 6 months. The food is delicious with a...More,Veggie temptation,https://www.tripadvisor.com/ShowUserReviews-g186338-d1016181-r187474305-Tibits-London_England.html,"One of the best vegetarian i have ever had in my entire life. I was living in london in the midle of this year and i think i had gone to Tibits once in a week during 6 months. The food is delicious with a huge variety, the place is cute and cozy and you can enjoy the night with friends sitting on a table outside, its locate in a kind of street-village decorated with lights. The best place to have lunch, dinner or drinks. Try the ginger lemonade !"
Fresh flavour and textures,https://www.tripadvisor.com/ShowUserReviews-g186338-d1016181-r187441120-Tibits-London_England.html,Date of visit: December 2013,"Delicious lunch full of crisp, clean and flavoursome food. Self service and pay by weight. A mixture of hot and cold choices. Plenty of choice for condiments also.",Fresh flavour and textures,https://www.tripadvisor.com/ShowUserReviews-g186338-d1016181-r187441120-Tibits-London_England.html,"Delicious lunch full of crisp, clean and flavoursome food. Self service and pay by weight. A mixture of hot and cold choices. Plenty of choice for condiments also."
Vegitastic!!!,https://www.tripadvisor.com/ShowUserReviews-g186338-d1016181-r187371885-Tibits-London_England.html,Date of visit: December 2013,"Absolutely delicious! Lots of variety to choose from! Affordable, cozy, delicious! Definitely will be back! Well done!",Vegitastic!!!,https://www.tripadvisor.com/ShowUserReviews-g186338-d1016181-r187371885-Tibits-London_England.html,"Absolutely delicious! Lots of variety to choose from! Affordable, cozy, delicious! Definitely will be back! Well done!"
"Great location, food & cocktails",https://www.tripadvisor.com/ShowUserReviews-g186338-d1016181-r186460059-Tibits-London_England.html,Date of visit: November 2013,"Love this place.  It's on a cute little street off Regent St so great for central meet up.  Food is tasty, even simple looking options are well done and flavoursome.  Not usually a fan of buffets but good choices and like to mix up the...More","Great location, food & cocktails",https://www.tripadvisor.com/ShowUserReviews-g186338-d1016181-r186460059-Tibits-London_England.html,"Love this place. It's on a cute little street off Regent St so great for central meet up. Food is tasty, even simple looking options are well done and flavoursome. Not usually a fan of buffets but good choices and like to mix up the healthier stuff with a few cheeky onion rings and wedges. Usually fit in a sticky toffee pudding and chocolate creme too. Blackcurrant caiprinhia is good way to recover from busy day. Taken lots of people there and always goes down well; good music and friendly staff."
Shall I share the secret?,https://www.tripadvisor.com/ShowUserReviews-g186338-d1016181-r185965195-Tibits-London_England.html,Date of visit: November 2013,"... mmmmm, shall I or shan't I? The battle between wanting to keep a place all to oneself or telling others so that they too can enjoy good food in agreeable surroundings... Christmas and the season of goodwill are upon us, so here's my review...More",Shall I share the secret?,https://www.tripadvisor.com/ShowUserReviews-g186338-d1016181-r185965195-Tibits-London_England.html,"... mmmmm, shall I or shan't I? The battle between wanting to keep a place all to oneself or telling others so that they too can enjoy good food in agreeable surroundings... Christmas and the season of goodwill are upon us, so here's my review - and why not? Tibits deserves it!The fare is vegetarian. Don't think tasteless overcooked lentil dishes or nut roasts, but fresh, seasonal ingredients showcased in interesting combinations and presenting themselves as vibrant colours on the plate, with tasty dressings to complement them, a quiche and a couple of pasta dishes too, a plethora of salads and side dishes too. You will be spoilt for choice and there won't be enough corners on your plate. The food is ready-prepared and this is not to say it has been hanging around for hours under buffet lights. The staff are constantly bringing top ups and on no two days is the menu the same. (We came twice during our recent 8 day stay in London and enjoyed different dishes each time). Then when you have made your selection, you take your plate to the tills, whereupon it is weighed and you can order drinks. I paid about £8 for my lunch but my hungry husband, who sneaked in a falafel or two when I wasn't looking, paid a bit extra for his. A bread roll comes with your meal and is not counted as part of the weigh-in (thank you, Tibits). Tap water is also freely available, so it needn't work out expensive as I noticed others have suggested in their reviews. There are also puddings and a great selection of fresh juices, organic ciders and wines, if you fancy staggering back down Regent Street after your lunch. The hot lemon and ginger tea is zingy and so warming on a cold day - just what you need to get the blood pumping again.My advice is to go early, as by about 1 pm the restaurant gets pretty full. The acoustic is such that this brings a certain amount of noise during peak times, but for an early lunch it's fine.Just a couple of negatives, as nothing can be absolutely perfect and it's so important to give a balanced review. Firstly, one time we went recently my husband and I both noticed the dishes were overly salty: surprising, as we never noticed this before, and hopefully somebody just salted something twice, rather than this becoming a pattern which so often develops in restaurants. But we have eaten here many times and this was an isolated incident. Secondly, the tables are so close together that if you are eating and somebody comes to sit at the next table, they have to squeeze in to get past and then will struggle with the ill-fitting cushions on the banquettes to get comfortable, and totally interrupt your enjoyment of the meal. BUT don't let this put you off. It is tasty, nutritious food and the atmosphere is pleasant. The restaurant is in Heddon Street, just off Regent Street, so great if you're shopping nearby in Piccadilly or Oxford Street. Tibits does deserve to do well and we will certainly be coming back next time we're in London. Enjoy! And Happy Christmas!"
Coffee stop,https://www.tripadvisor.com/ShowUserReviews-g186338-d1016181-r185716249-Tibits-London_England.html,Date of visit: November 2013,"Stumbled upon this hideaway restaurant just off Regent Street as we wanted a cuppa & not a chain. Lovely welcoming & varied choice of drinks. 
Great prices & good coffee, tea a comfy place to sit. 
Clean bathroom faculties & spotted kids area which was...More",Coffee stop,https://www.tripadvisor.com/ShowUserReviews-g186338-d1016181-r185716249-Tibits-London_England.html,"Stumbled upon this hideaway restaurant just off Regent Street as we wanted a cuppa & not a chain. Lovely welcoming & varied choice of drinks. Great prices & good coffee, tea a comfy place to sit. Clean bathroom faculties & spotted kids area which was impressive. Would recommend"
something a little different and interesting,https://www.tripadvisor.com/ShowUserReviews-g186338-d1016181-r185354083-Tibits-London_England.html,Date of visit: October 2013,looking for a change.....then head here to choose and browse the buffet for a mind boggling selection of nicely presented salads and other main dishes. We chose here as we're doing some new diet and wanted a low calorie meal.....we weren't disappointed & ate within...More,something a little different and interesting,https://www.tripadvisor.com/ShowUserReviews-g186338-d1016181-r185354083-Tibits-London_England.html,looking for a change.....then head here to choose and browse the buffet for a mind boggling selection of nicely presented salads and other main dishes. We chose here as we're doing some new diet and wanted a low calorie meal.....we weren't disappointed & ate within our 'calorie budget'. My only suggestion would be that they change the queueing system so that you don't have separate queues for food & drink
,,,,,,
You get what you pay for - literally! It's vegetarian & very good.,https://www.tripadvisor.com/ShowUserReviews-g186338-d1016181-r185168073-Tibits-London_England.html,Date of visit: November 2013,"12.30pm on a Saturday lunchtime. We found a table for 6, though by 1pm the restaurant was more or less full. Very enjoyable self-serve buffet, where you cruise round the 'boat' and then have your plate weighed and pay. (Can be a bit of a...More",You get what you pay for - literally! It's vegetarian & very good.,https://www.tripadvisor.com/ShowUserReviews-g186338-d1016181-r185168073-Tibits-London_England.html,"12.30pm on a Saturday lunchtime. We found a table for 6, though by 1pm the restaurant was more or less full. Very enjoyable self-serve buffet, where you cruise round the 'boat' and then have your plate weighed and pay. (Can be a bit of a wait and a free-for-all at the tills.) Our main courses varied from £5+ to £15; if you go for potatoes, quiche etc then of course it weighs more. Really enjoyed the food, lots of choice of hot and cold - although the 'hot' could have been hotter. Less excited by desserts, disappointed with sticky toffee pudding. Next time would have just a main course. Wine minimum per bottle £16+ but would be vegetarian. Bottled water seemed pricy, but tap water freely available. Already a favourite with the rest of the family, it was our first visit to Tibits and we sure as anything will be back."
Overpriced limited choice,https://www.tripadvisor.com/ShowUserReviews-g186338-d1016181-r185034315-Tibits-London_England.html,Date of visit: November 2013,We stumbled on this restaurant looking for a pre film meal .A nice setting off Regent street  .We shared a plate of salad as a starter but were disappointed with the lack of hot food choice for the main.At £10 -£11 a plate (weighed at...More,Overpriced limited choice,https://www.tripadvisor.com/ShowUserReviews-g186338-d1016181-r185034315-Tibits-London_England.html,We stumbled on this restaurant looking for a pre film meal .A nice setting off Regent street .We shared a plate of salad as a starter but were disappointed with the lack of hot food choice for the main.At £10 -£11 a plate (weighed at the till ) a nice cold buffet but pricey for what it is .
Food and Drinks,https://www.tripadvisor.com/ShowUserReviews-g186338-d1016181-r185004830-Tibits-London_England.html,,Tibits was very well! Not very expensive and on such a nice place. Staff is friendly and the buffet is really good! I would go again,Food and Drinks,https://www.tripadvisor.com/ShowUserReviews-g186338-d1016181-r185004830-Tibits-London_England.html,Tibits was very well! Not very expensive and on such a nice place. Staff is friendly and the buffet is really good! I would go again
Good vegetarian food,https://www.tripadvisor.com/ShowUserReviews-g186338-d1016181-r184723654-Tibits-London_England.html,Date of visit: November 2013,"Reliably good veggie food, although you have to choose judiciously. Don't choose the everyday options such as quiche, or sticky toffee pudding for dessert - they're usually not great. However their salads and marinated savouries are always delicious.",Good vegetarian food,https://www.tripadvisor.com/ShowUserReviews-g186338-d1016181-r184723654-Tibits-London_England.html,"Reliably good veggie food, although you have to choose judiciously. Don't choose the everyday options such as quiche, or sticky toffee pudding for dessert - they're usually not great. However their salads and marinated savouries are always delicious."
What more could a veggie want or need?,https://www.tripadvisor.com/ShowUserReviews-g186338-d1016181-r184295301-Tibits-London_England.html,Date of visit: November 2013,"Yes, it is a quirky way of picking up food and paying by weight at the bar but who cares - the food is varied and delicious.  Main courses hot and cold and desserts to die for.  The location is superb: a food courtyard in...More",What more could a veggie want or need?,https://www.tripadvisor.com/ShowUserReviews-g186338-d1016181-r184295301-Tibits-London_England.html,"Yes, it is a quirky way of picking up food and paying by weight at the bar but who cares - the food is varied and delicious. Main courses hot and cold and desserts to die for. The location is superb: a food courtyard in a pedestrianised area just off Regent Street.We will quite possibly eat there every time we are in London!"
Best vegetarian restaurant in London,https://www.tripadvisor.com/ShowUserReviews-g186338-d1016181-r183900629-Tibits-London_England.html,Date of visit: October 2013,"This is the best vegetarian restaurant I've found in London until now. £22 for 1kg of food might seem to expensive but the food is delicious. Most importantly, I've now taken three different groups of non-vegetarian friends to this restaurant and they all liked the...More",Best vegetarian restaurant in London,https://www.tripadvisor.com/ShowUserReviews-g186338-d1016181-r183900629-Tibits-London_England.html,"This is the best vegetarian restaurant I've found in London until now. £22 for 1kg of food might seem to expensive but the food is delicious. Most importantly, I've now taken three different groups of non-vegetarian friends to this restaurant and they all liked the food a lot because it's so tasty and spicy.Some tips:- free tap water in plastic cups on the left-hand side as you're heading to the stairs- try the vegan tartar - excellent- very good: falafel, cheesy jalapenos, hummus, the oily pods"
"High end vegetarian food, pricey",https://www.tripadvisor.com/ShowUserReviews-g186338-d1016181-r183624713-Tibits-London_England.html,Date of visit: November 2013,"The place is tucked away behind Regent Street, it's about 7 min walk to Piccadilly Station.
The restaurant has a warm inviting feel.
This is a novel restaurant,which uses a self service type approach.
There is buffet type counter with all sorts of wonderful vegetarian...More","High end vegetarian food, pricey",https://www.tripadvisor.com/ShowUserReviews-g186338-d1016181-r183624713-Tibits-London_England.html,"The place is tucked away behind Regent Street, it's about 7 min walk to Piccadilly Station.The restaurant has a warm inviting feel.This is a novel restaurant,which uses a self service type approach.There is buffet type counter with all sorts of wonderful vegetarian food, hot and cold stuff is available. You grab a plate - pile the food on, take it to the counter, the food gets weighed - and you pay, before sitting back down to eat.Nice concept, lots of food, but it is expensive stuff for what it is."
Who needs meat?,https://www.tripadvisor.com/ShowUserReviews-g186338-d1016181-r182946871-Tibits-London_England.html,Date of visit: October 2013,"Really good idea, even for four non-veggies like us! Excellent range and choice. very tasty and excellent value. Grab a plate, help yourself then get it weighed and pay. It's not difficult to find somewhere to eat around this bit of Regent Street but Tibits...More",Who needs meat?,https://www.tripadvisor.com/ShowUserReviews-g186338-d1016181-r182946871-Tibits-London_England.html,"Really good idea, even for four non-veggies like us! Excellent range and choice. very tasty and excellent value. Grab a plate, help yourself then get it weighed and pay. It's not difficult to find somewhere to eat around this bit of Regent Street but Tibits certainly offers something different. One of our group had a dairy intolerance and this was a great place for him. All the dishes were clearly and helpfully marked as to ingredients. wide choice of dairy free. Staff were friendly and helpful. Very busy when we went in but the atmosphere was good and it didn't feel crowded. We recommend it."
So much choice,https://www.tripadvisor.com/ShowUserReviews-g186338-d1016181-r182549580-Tibits-London_England.html,Date of visit: August 2013,Going to tibits is always exciting as there is so much choice - something that vegetarians don't often get. It's difficult to decide whether to pile your plate with a few favourite things or have a little bit of as much as you can. The...More,So much choice,https://www.tripadvisor.com/ShowUserReviews-g186338-d1016181-r182549580-Tibits-London_England.html,Going to tibits is always exciting as there is so much choice - something that vegetarians don't often get. It's difficult to decide whether to pile your plate with a few favourite things or have a little bit of as much as you can. The deep-fried cream cheese jalapenos are delicious. I rarely leave room for dessert but they always look tempting. Wish they did a cooked breakfast! A lunchtime favourite in central London.
Must try this!!,https://www.tripadvisor.com/ShowUserReviews-g186338-d1016181-r182333923-Tibits-London_England.html,Date of visit: September 2013,"Really exciting concept

A big meat eater here, but I really loved this place and would defiantly go back again

A simple idea, help yourself from a superb buffet table of vegetarian food, then have it weighed and pay for what you take

Different size...More",Must try this!!,https://www.tripadvisor.com/ShowUserReviews-g186338-d1016181-r182333923-Tibits-London_England.html,"Really exciting conceptA big meat eater here, but I really loved this place and would defiantly go back againA simple idea, help yourself from a superb buffet table of vegetarian food, then have it weighed and pay for what you takeDifferent size plates to choose from or takeaway potsFood on offer is a mix of hot and cold, fantastic selection, it was hard not too want to take it all, trust me. Even found some items I had never heard of.Also offers a great selection of non alcoholic drinks, a must for business lunch"
,,,,,,
Great Vegetarian Restaurant,https://www.tripadvisor.com/ShowUserReviews-g186338-d1016181-r182250147-Tibits-London_England.html,Date of visit: October 2013,"Wonderful choice of dishes, great atmosphere, separate kiddy section for families, and very reasonable prices for such a central location. My young daughter and I are the only vegetarians in my family and on a recent visit to London, insisted on a family meal here....More",Great Vegetarian Restaurant,https://www.tripadvisor.com/ShowUserReviews-g186338-d1016181-r182250147-Tibits-London_England.html,"Wonderful choice of dishes, great atmosphere, separate kiddy section for families, and very reasonable prices for such a central location. My young daughter and I are the only vegetarians in my family and on a recent visit to London, insisted on a family meal here. The choice is so extensive everyone was happy and enjoyed their meal, including my die-hard carnivore mother who regards all non-eaters with suspicion and freaks out over what to feed us. If you love being able to try lots of different dishes (like me) you will be in heaven. Standouts are the jalapeno poppers and pumpkin quiche. The sweet-toothed ones loved the ""cheesecake""."
Terrific for the veggie fans!,https://www.tripadvisor.com/ShowUserReviews-g186338-d1016181-r182074096-Tibits-London_England.html,Date of visit: October 2013,"This is a real find in Central London--a restaurant with ENOUGH vegetables, inside-outside seating, heaters for when it is cold and no traffic noise.  We think it might be Vegan, although cheese (but not eggs) is definitely on the menu.  At any rate, we sort...More",Terrific for the veggie fans!,https://www.tripadvisor.com/ShowUserReviews-g186338-d1016181-r182074096-Tibits-London_England.html,"This is a real find in Central London--a restaurant with ENOUGH vegetables, inside-outside seating, heaters for when it is cold and no traffic noise. We think it might be Vegan, although cheese (but not eggs) is definitely on the menu. At any rate, we sort of graze through it, plate by plate until we are full enough (you will never feel truly full). Our bill for two, including cocktails, nuts and desserts was just above £50, but we did not stint ourselves. The main courses are usually a vegetable curry (or pumpkin), with a specialty rice. Other dishes are VEG VEG VEG, but each is so wonderfully well prepared, you can't get everything you want on your plate. Tibits may fall empty for a little while, but generally it is FULL of people, most of them foreign who know about it how? We just happened on it. Forget the desserts. Soya whipped mango cream? Forget it. The only one I like is the cheesecake, but they don't have it every night. For the record, neither of us is vegetarian. And for the record, you don't have to spend as much as we did. We just went wild!"
different & healthy,https://www.tripadvisor.com/ShowUserReviews-g186338-d1016181-r181951093-Tibits-London_England.html,Date of visit: October 2013,"The format is help yourself buffet and pay by weight at the till.
The quality of the food was good and I felt healthy afterwards. People who do not think of themselves as veggie would probably do alright here.  
A good place to go to...More",different & healthy,https://www.tripadvisor.com/ShowUserReviews-g186338-d1016181-r181951093-Tibits-London_England.html,The format is help yourself buffet and pay by weight at the till.The quality of the food was good and I felt healthy afterwards. People who do not think of themselves as veggie would probably do alright here. A good place to go to when you are fed up of too much fat and fry and grease.
Very good food and a good location,https://www.tripadvisor.com/ShowUserReviews-g186338-d1016181-r181655870-Tibits-London_England.html,,"Me (vegetarian) and my boyfriend (not vegetarian) had a lovely early dinner in Tibits. There's something for everyone to pick on the boat-shaped table. Please, try jalopeno poppers with mango chutney!  The plate wasn't that cheap (not very expensive either), though we didn't have any...More",Very good food and a good location,https://www.tripadvisor.com/ShowUserReviews-g186338-d1016181-r181655870-Tibits-London_England.html,"Me (vegetarian) and my boyfriend (not vegetarian) had a lovely early dinner in Tibits. There's something for everyone to pick on the boat-shaped table. Please, try jalopeno poppers with mango chutney! The plate wasn't that cheap (not very expensive either), though we didn't have any dessert, but everything was tasty and well made. Healthy, self made, with good ingredients. I tried also fresh squeezed juice with ginger wich was nice, but a bit too strong to my taste."
A real find,https://www.tripadvisor.com/ShowUserReviews-g186338-d1016181-r180858136-Tibits-London_England.html,Date of visit: October 2013,"My partner is a vegetarian and I am not. Finding good restaurants serving a good range of food suitable for vegetarians is not easy. This place is a real find.
Virtually every dish in the buffet looked appetizing. All I tried were delicious. The staff...More",A real find,https://www.tripadvisor.com/ShowUserReviews-g186338-d1016181-r180858136-Tibits-London_England.html,My partner is a vegetarian and I am not. Finding good restaurants serving a good range of food suitable for vegetarians is not easy. This place is a real find.Virtually every dish in the buffet looked appetizing. All I tried were delicious. The staff were efficient and friendly. The place is informal but looks great.In short this is an excellent place for a quick lunch.
Excellent value,https://www.tripadvisor.com/ShowUserReviews-g186338-d1016181-r180779071-Tibits-London_England.html,Date of visit: October 2013,"My friend and I visited her on reccomendation of a work colleague. we were not disapointed we could choose to sit inside or out and the outside is in a pedestrian only square , so no stinky traffic fumesIt was agreat concept of paying for...More",Excellent value,https://www.tripadvisor.com/ShowUserReviews-g186338-d1016181-r180779071-Tibits-London_England.html,"My friend and I visited her on reccomendation of a work colleague. we were not disapointed we could choose to sit inside or out and the outside is in a pedestrian only square , so no stinky traffic fumesIt was agreat concept of paying for your food by weight. You just help yourself to whatever you want , take the plate to the counter to be weighed and pay. Simples!It is all vegetarian and delicious. There is a choice of hot or cold, and also some yummy puds.we both paid about £15 each for 2 courses."
Great for lunch,https://www.tripadvisor.com/ShowUserReviews-g186338-d1016181-r180414747-Tibits-London_England.html,Date of visit: October 2013,"There was a warm welcome and a choice of indoor and outdoor seating. There was a great selection of healthy dishes; plenty to choose from for all the family, including some great salads, though the hot food could have been a bit hotter. Good range...More",Great for lunch,https://www.tripadvisor.com/ShowUserReviews-g186338-d1016181-r180414747-Tibits-London_England.html,"There was a warm welcome and a choice of indoor and outdoor seating. There was a great selection of healthy dishes; plenty to choose from for all the family, including some great salads, though the hot food could have been a bit hotter. Good range of alcoholic and soft drinks - try the ginger lemonade. Really recommend this place for lunch while sightseeing - probably a bit ""quick"" for a more relaxing evening meal."
Excellent vegetarian restaurant,https://www.tripadvisor.com/ShowUserReviews-g186338-d1016181-r180389446-Tibits-London_England.html,Date of visit: September 2013,"Brilliant concept - pay for the weight of your food. Plenty of vegetarian dishes, enjoyed by vegetarians and non vegetarians alike. Great central location, close to Oxford Circus and Picadilly Circus. Great place to eat as a traveller, food warm and fresh without having to...More",Excellent vegetarian restaurant,https://www.tripadvisor.com/ShowUserReviews-g186338-d1016181-r180389446-Tibits-London_England.html,"Brilliant concept - pay for the weight of your food. Plenty of vegetarian dishes, enjoyed by vegetarians and non vegetarians alike. Great central location, close to Oxford Circus and Picadilly Circus. Great place to eat as a traveller, food warm and fresh without having to wait for it to be prepared. Love visiting!"
Delicious vegetarian food,https://www.tripadvisor.com/ShowUserReviews-g186338-d1016181-r180379234-Tibits-London_England.html,Date of visit: July 2013,I loved this restaurant. You pick a plate or a box and help yourself to  a delicious range of dishes then you take your plate to the counter where it is weighed. It is a fantastic idea as you only pay for what you eat...More,Delicious vegetarian food,https://www.tripadvisor.com/ShowUserReviews-g186338-d1016181-r180379234-Tibits-London_England.html,"I loved this restaurant. You pick a plate or a box and help yourself to a delicious range of dishes then you take your plate to the counter where it is weighed. It is a fantastic idea as you only pay for what you eat and it prevents wastes. The food was fresh as it was continuously replenished by the kitchen staff. I would recommend the spinach and ricotta cannelloni, it is the best I've tasted."
"Excellent, healthy, tasty, stylish food.",https://www.tripadvisor.com/ShowUserReviews-g186338-d1016181-r180354143-Tibits-London_England.html,Date of visit: September 2013,"Really enjoyed the food at this unusual, much needed type of restaurant in a capital city overrun with eateries. Don't be put off by the bland, uninviting exterior... Once inside you immediately see stylish decor and a varied, interesting, well described buffet of hot and...More","Excellent, healthy, tasty, stylish food.",https://www.tripadvisor.com/ShowUserReviews-g186338-d1016181-r180354143-Tibits-London_England.html,"Really enjoyed the food at this unusual, much needed type of restaurant in a capital city overrun with eateries. Don't be put off by the bland, uninviting exterior... Once inside you immediately see stylish decor and a varied, interesting, well described buffet of hot and cold food. I will visit often. ..this is a restaurant I would visit often were it on my doorstep. Please open more like this...."
,,,,,,
