Title,rev_wrap,Field2
Best vegan sweet potato curry,Date of visit: December 2017,"I absolutely love Mildreds. They are always super busy so there will be a waiting line as they don#t take advanced bookings. However, the service is quick and it's definitely worth the wait. I usually get the sweet potato curry, it's so good. they also have a variety of starters and fresh juices."
Amazing vegan and veggie meals,>,"Excellent service, seated straight away, food came quickly despite restaurant being constantly busy. Food was delicious. Great variety! Would recommend."
Best veggie in London,>  >,"We visited the Soho branch. Absolutely worth the 45min wait. We sat at the window with a glass of prosecco waiting and it was lovely. The food was full of flavour, we had the burrito with black bean and it was fantastic. We also order the polish burger. It was my favourite! Unfortunately no pictures of the brilliant food."
It was worth the wait!,Date of visit: December 2017,"We waited here for nearly an hour as you cannot book, but it was worth it. What an incredible place! It was really busy but the atmosphere was friendly. Despite how busy it was in there, we were served quickly and staff were really friendly. There were so many lovely choices and we ended up staying for 3 courses and a cocktail and was pleasantly surprised when the bill came to something that I would pay for in a chain restaurant. The food was mind blowing to say the least! The Miso Aubergine was cooked to perfection, the buttermilk, polenta un-chicken was absolutely incredible - I still cannot get over how delicious it was. The cocktails were really good and desert was incredible. I went for the vegan pumpkin pie with a creme-brulee type top. The ingredients were of excellent standards, even down to the olives.My husband is vegan and he enjoyed the luxury of having so many vegan choices to go for. We would love to come back again,"
One of the MUST vegan eats in London,Date of visit: October 2017,"This iconic plant based eatery combines classic British food with international and innovative recipes. Loved their rhubarb cheese cake, their burgers are simply great, and the vibe in the Soho's heart worth a visit for sure."
shame the service doesn’t match the quality of the food!,>  >  >  >,"The food is at Mildred’s is amazing, sadly the service doesn’t come close to being of the same quality. The food portions are huge, and full of flavour. The mock chicken is particularly delightful, even if you’re not vegetarian.Mildred’s is so busy that the staff seem rushed to serve you. There is no check back, no offer of extra drinks, and none of the staff look happy to be there. You’re made to feel they just want you to eat and leave. It’s so busy at peak times, you can see the staff getting flustered when your meal is taken to the table opposite....Be advised you can’t book here, so expect a wait unless you’re the first through the door!"
Easily became one of my favourites in the world.,Date of visit: November 2017,"Mildreds offers a great menu of delicious meals for vegans and vegetarians alike. Everything I've had there during my several visits was very satisfying (perhaps a little expensive). The staff was friendly and I just loved the atmosphere.Specifically, the Lexington Street branch is usually very crowded and generally not so spacey, but the food is always great in all branches."
Manic,Date of visit: November 2017,Food always good in mildreds but get in early if you are going for lunch.It gets hectic and can feel a bit squashed and on top of each other.Service is quick enough even when its busy but keep an eye out as it nay end uo on tge next table rather than yours
,,
A really pleasurable dining experience,Date of visit: November 2017,"Had lunch here today, arrived at 12.00 as my daughter said they get busy. By 12.30 the queue was to the door. I’m not surprised, it’s a small restaurant but the food was amazing.Although it’s all veggie my ‘mock ‘ chicken was delicious as was my daughters beetroot burger.The take away salad bar was really popular with customers and looked great. Would definitely eat here again when in London."
Fantastic Vegan Food,Date of visit: November 2017,"Love Mildreds! Excellent options for vegan and gluten free, terrific wine and cocktails, excellent staff and atmosphere! VERY busy but worth the wait!"
Who knew veggie food could be this good?,Date of visit: November 2017,"Everything we had was delicious. The staff are very friendly and the service is good. I would definitely go back. The only problem is the restaurant is quite small, so it feels a little claustrophobic. We were sat very close to the neighbouring tables."
Veg gastronomy,Date of visit: October 2017,"Veg gastronomy has finally arrived in London. This place shows the dedication and care that only professionals can show in veg handling. The results are astonishing. A pan-fried cheese dish with ''roasted'' grapes followed by a Sri Lankan sweet potato and bean curry gave the right international feel to a veg meal, you don't have to eat just tofu here !"
Avoid Peak Times,Date of visit: November 2017,"If you're heading here I recommend you don't visit at peak times. I visited on a Saturday evening and although the wait was only around 20 mins the place was very busy. This meant that the service wasn't great, often with staff forgetting our requests and our food arriving warm (as opposed to hot). The food still had flavour and the staff were very friendly, if you're a vegan visiting London I'd still recommend. I'm hoping to try a different venue at a quieter time as it gets quite loud."
Great food & vibe if you can wait,Date of visit: November 2017,"Excellent food, usually order a variety of small plates to share. Their takeaway service is good too. Great place if you don’t mind the wait and the noise. Not the place for intimate dining."
Vegetarian and vegan restaurant,Date of visit: November 2017,A maze of rooms over several floors. It became quite noisy when our room filled up but we didn't mind and the food and the service were very good. I rarely go for a non-meat or non-dish option but I was very happy with my dish and would order it again.
perfect for veggies!,Date of visit: November 2017,great range of veggie/vegan options...food quality is always up to the expectations...usually crowded but couldn't help...good things have to wait! :)
Excellent as ever,Date of visit: November 2017,"Visiting Mildred's is on my to-do list whenever I visit London, and over the years I've introduced many people to the deliciousness that is Mildred's. This time was the first time I got to go with my boyfriend. The food is simply amazing, so flavoursome and healthy. We opted for the mushroom and ale pie and the Sri Lankan curry, both were brilliant. Very reasonable prices considering it's bang in the middle of soho. Service is always friendly even when they're busy. Can't wait until the vegan cookbook comes out!"
Busy as usual!,Date of visit: November 2017,"I have been visiting Mildred's for over fifteen years. I had smoked mushroom and ale pie with delicious chunky chips and mushy peas. The black mojito cocktail I had was delicious. You can't book a table so you get a ticket and wait (an hour and a half waiting time at 6pm on a Friday). Couldn't fit in a pudding as portion was so generous but did manage to squeeze in the truffles! This is not a place to go for a quiet meal, you're packed in and it is very busy and noisy. Good service though."
,,
Such good food,Date of visit: September 2017,"Amazing options! Brilliant menu methodology - you can ask for a special allergies one which is marked differently so the staff know and double check with you, plus it is really clear what things you can eat!! The food was so good. Finding a vegetarian restaurant is amazing! I will be back often to work my way through the menu.They offer a cookbook- I might need it!!"
"Great food, even for meat lovers",Date of visit: November 2017,"I went to Mildred's with my family - all meat lovers. We ate almost everything on the menu :) and the surprise for them was that they were full on the end of the night. I, a vegetarian myself, fell in love with ""the fake chicken"" as the waitress called it :D Really, really great place for experimenting and trying out new things - even if meat is your one true love. And the staf.... just amazing - really laid back, nice and happy to help you out if there is something you don't understand on their menu.First thing to do next time in London."
"Mediocre food, unfriendly waitress",Date of visit: November 2017,"The food was so-so, some nice, some bland, some not in keeping with the menu (we expect mulled brandy cream to taste of something other than coconut). Several components of a salad were fridge cold, impairing the flavour big time and simply unpleasant to eat. Strange to see a cake made with dairy and eggs (according to the waiting staff) included in a mostly vegan menu. Maybe those raving reviews made us expect too much of the dishes, but in addition to the mediocre food was the waitress who couldn't smile if her life depended on it, couldn't even manage the basic niceties or simple good manners."
Late night meal after evening lecture,Date of visit: November 2017,"Even though it was a long walk, and we were starving by the time we got to the restaurant at 09:30pm, the food was fabulous. Vibrant noisy atmosphere helped us feel buzzing! We ordered one starter to share, and when they brought the wrong plate, they let us keep it for free, and so we ended up with 2 starters. Great start! All the staff were really patient and friendly , and all of them were willing to respond to our requests. Our mains, a sri lankan curry and a Mushroom and Ale pie were well cooked with fresh ingredients, and the plum crumble was good too.Finally have to say that we're not Londoners and would expect to have paid a lot for this, but it was no more than our crappy local pub charge!"
Not as good as I remember...,Date of visit: October 2017,"I returned to Mildred's after a few years - my last visit was over 5 years ago, and I am not sure I would go again. I think it is fine if you are around the area and want to grab a bite (they do not take bookings) but not worth the effort otherwise. Service is so so, and food is ok, but not a great dining experience...as a vegetarian I would have to rate 222 Veggie Vegan and Farmacy as the clear best places in London..."
Saturday Lunch,Date of visit: October 2017,"Bustling , rather crowded but very nice . The staff are excellent, the food is great. Gluten Free menu provided. Reasonably priced for Soho. We enjoyed our visit and would return."
Fantastic Food,>  >  >  >,"We went to Mildred’s restaurant in Lexington Street, before going to a theatre matinee. What a fantastic vegetarian menu they have. The food is excellent !The restaurant is small, so you are tightly packed in. All your party need to be there to get your table, so arrive at the same time. We arranged to get there 15 minutes after they opened and had no trouble getting seated. The staff are efficient and the ambiance great. There is a take away option, which is busy with enthusiastic clients."
Dreadful Customer Service,Date of visit: October 2017,"We have twice attempted to get a table here in the past. My daughter is vegetarian and some friends of hers had eaten here and loved it. The two previous occasions preceded theatre visits and so we were unable to wait the required hour for our table. So, last Saturday, October the 28th, on my daughter's 21st birthday we decided to go there for lunch and wait for a table if necessary. On arriving, at 12.15 and requesting a table for 3, we were told that we couldn't be accommodated downstairs, despite several tables for 4 being clearly empty. (The restaurant has a 'no-reservation' policy so these tables were open.) The staff member then led us upstairs to a poky, crammed room with plastic tables, led us to a table for six and told us that we would have to share with the next party of three.I politely (probably a little bit ingratiatingly I'm honest!) asked if please we could be accommodated downstairs in the sunny, atmospheric main room as it was my daughter's 21st birthday and as such, a special occasion. I was told that if we wished to eat there, then this was all that was available. We were not offered a choice to wait for an available table for three and the attitude was clearly ""take it or leave it"". We left it.This place has clearly become such a victim of its own perceived greatness that customers are now a secondary consideration to profit. Exclusively vegetarian restaurants are still rare but this niche market is expanding and as such will need to remain competitive. Mildred's clearly wants to pack each seat with a paying customer and as such, a table for four needs four paying guests to profitable. This attitude is so misguided. We could have been four diners on a budget who meant to spend the minimum possible or, as we were, a party of three who wished to celebrate with several courses and champagne. We ended up spending our money in Bill's and had a lovely time.I've read many reviews on this place and while still good, it's clear that Mildred's food and service are nowhere near special enough to justify the arrogance and carelessness of its staff towards its customers.There are so many brilliant places to eat in London, most now offering great vegetarian options. Mildred's 'You're lucky to be here at all' attitude needs to change before it's too late.So disappointed, and we won't be going back."
Form a line,Date of visit: October 2017,Mildred’s May in fact be wonderful. I will never know for sure. I arranged to meet people there for dinner at the ridiculously early hour of 6.30. I got there early and was told that the waiting time for a table was ONE AND A HALF HOURS. There is no booking in advance. Did I want to stand in the rain on the pavement drinking their wine till 8.00? What do you think?
Amazing Host!,Date of visit: September 2017,"I've visited Mildred's twice now and both times left very full and happy. But a great menu full of veggie and vegan delights is not just what stayed with me as a lasting memory...the staff are fantastic! This restaurant gets incredibly busy and the queues can be pretty long but the bar staff are great at making sure people get drinks quickly while they're waiting, and the host is the best I've ever encountered. She's friendly and bubbly, got an excellent memory for faces and really made my visits memorable as she makes each person waiting feel like they're welcome and valued, not just another person in the queue to remember.Thank you so much for your great hospitality, I'll definitely be back!"
,,
great for everyone!,"Review collected in partnership with this restaurant This business uses tools provided by Tripadvisor (or one of its official Review Collection Partners) to encourage and collect guest reviews, including this one.","lovely place- sometimes difficult for my vegetarian friend and i (HATE VEGETABLES!) to find places we both like- but this as a top pick on this trip! very cozy with great choices. you can sit an order from the menu, or take away from a buffet of salads."
Fantastic food,Date of visit: October 2017,"I always rate Mildred's highly for their food. I find their menu always has something interesting to try and each item is prepared to perfection. The only issue here is that the space is so cramped that getting in and out of your table is almost impossible and you will almost definitely knock over something on your neighbours table. They do not take bookings and at peak times you may have to wait a long time, they allow you to wait at the bar but this can get just as crowded as the dining room. The food is worth it, but it's not a ""linger"" restaurant."
London vegan/vegetarian institution!,Date of visit: October 2017,"If you are vegan, vegetarian or just like excellent food then you need to go to Mildred's! We have been several times and every time the food is nothing short of amazing. Their menu has something for everyone- from healthy bowls to delectable burgers, curries, stir fry...Desserts are also particularly good so make sure you go hungry!"
one of my favourite restaurants in London,Date of visit: October 2017,"Their meals are amazingly taste!!! What I ordered was ""coconut green currry"", which was so delicious! It was not too sweet but a bit hot, and sweet potatoes in the curry were soft and of course, sweet! Almost all the menu are vegetarian/vegan and some are gluten free, so it's friendly enough to those who cares about that!For the dessert, I ordered ""caramel pudding"". The pudding is vg/gf/raw, but the natural sweetness of caramel and cashews and the taste of the raw tart was super yum. I would try another pudding next time!!!・Things to concernIt could be too noisy inside to talk while eating, especially on weekends. It might not be a good place for a date or a serious situation.Also, the price is relatively high, so like students might be hard to afford to it. Even so, this place is worth trying!!!"
Left with a hungry belly and an empty wallet,Date of visit: October 2017,"Don't understand why this place is so highly rated. The gyozas were nice but at £6 for 6 it was a rip off. The butternut squash was bland and tiny portions. The burrito was also tasteless and tiny. Just rice in a wrap with some iceberg lettuce, plain sweetcorn and what was meant to be guacamole but was really just mashed up avacado. For £12 you have to be joking! We took so long deciding what to have because everything on the menu you could cook easily at home. The tables are way to near each other, the service was slow. Never again!"
The best variety of vegan food,>  >,"I want to try the whole menu! I've been dying for sausage and mash for ages but hate the fake meat sausages, so was so excited to try their 'tofu and bean sausages and mash', which didn't disappoint. Mum had a squash curry which she said was delicious. Their cocktails are gorgeous as they're not overly sweet, and they have such cool flavours - I had a pumpkin margarita! Best vegan dessert options I've ever seen too. The crumble is divine! Service was quick too, and the staff were really friendly. I'll be getting back ASAP to try as much as I can on the menu."
Vegetarian delight,Date of visit: October 2017,"I met with two very good friends for lunch in London, I have never eaten a vegetarian meal before until I visited Mildred's. Firstly the food was fantastic, second the it was great value and third the staff and the atmosphere was excellent. Highly recommend you try it out"
Oh dear,Date of visit: October 2017,"I’ve eaten at Mildred’s now for years and have always had a fantastic time, great food and service. We popped in on Saturday evening and expected to wait an hour for the table the lovely waitress said. That’s fine. Went to the bar to order drinks. 2 gin fizz. The lady making them spilt half the drink over the bar and was going to serve it by adding more ice. I said could we have full measures please at £7.50 a drink. They were delicious. We sat down on a sharing table order our meals gyozo dumpling and butternut salad. The salad arrived on what I could only describe as a plate smaller than a saucer. It tasted delicious all few bites of it. Then our 2 sweet potato curry’s arrived. I’ve eaten this again for years. Tonight was a huge bowl of rice, 4 pieces of potato and 2 French beans hidden under the cashew and coriander. I complained and this was deducted from the bill. I must say looking at a lot of the food being served the portions have diminished. You have a very loyal customer base don’t start loosing it by opening all these other locations and not focusing on what you already have."
So much choice .....,>  >  >  >,"The cafe does not accept bookings for small groups, so get there early. They open at 12.00 weekdays. The restaurant has a cafe-feel about it and as a vegetarian, I delighted in the big choice of vegan, vegetarian and organic food and drink. The service was quick, which enabled us to walk to our theatre performance in good time. The non-veggie person in our party loved her Polish, beetroot based burger and I chose the starter of smashed avocado with chilli and lime with organic corn chips. The only negative feelings I had were that it is very noisy, so not good for any hard of hearing friends and our server was very dour and didn't really speak to us - maybe he didn't like us? But they made the experience only slightly less than excellent. I will definitely visit again."
Decent  food at reasonable price,Date of visit: October 2017,Had lunch with a friend here recently. The menu is great with plenty of choice and portions are decent. For a central London venue it is reasonably priced. Service was average and the dining area is crowded. Would definitely go here again but it isn't quiet and you may end up sharing a table with strangers at peak times.
,,
Maybe we ordered wrong?,Date of visit: October 2017,"Everything on the menu sounded so good, we had trouble deciding. But everything we had was just ok - eggplant starter (which came with the entrees not as a starter - why?), beet burger, and tofu sausages (too salty to eat, for me). Everything was not quite hot enough. We were there early - around 5:15 pm and got a table easily. It was bustling. The servers were just not very attentive. We might give it another try - and order other things, and ask for them to be really hot. Really wanted to love it."
Very disappointed,Date of visit: October 2017,"Firstly, this restaurant doesn't take bookings so there was a mass of people queuing up to get a number so they could have the privilege of getting a table. This adds to the anticipation and is presumably a good ploy to get customers thinking they're somewhere special. As it happens we didn't have to wait too long.We were a party of three. I didn't have a starter but one had the manouri cheese and one the chargrilled artichokes, both of which were apparently very good. For the mains two had the stir fried veg and one had the polenta chicken. Both mains lacked seasoning and were pretty tasteless. Also, if it's supposed to be like chicken it should be moist, this looked and was bone dry, only redeemed by the dressing. They were meals we could have put together better ourselves.Looking at the reviews Mildred seems to sort of divide opinion. It may be popular because there aren't many veggie restaurants in London. Maybe the rest of the menu was fabulous and we just ordered the wrong things. Maybe people go because it's trendy. We decided not to complain but said we wouldn't go back. I may try Mildred's again in case it was bad luck but in a restaurant this popular EVERYTHING should be good. These places which are fashionable need to up their game otherwise too many customers will feel they have been ripped off. I've given the meal an Average rating only because of the starters."
Could do better,Date of visit: October 2017,Nice buzzy vibe with friendly staff but food a great disappointment. To be honest I could make a better burger & other dishes lacking in taste. Feel like it's trading on its name & not putting the effort in.
almost perfect,Date of visit: October 2017,"first visit to this legendary restaurant - why did I wait so long! Fantastic food, utterly unpretentious (even down to the pricing), really nice staff. the fruit smoothies are the best I have ever had, anywhere on planet earth. get in early, though: we went on Saturday: it opened at noon, long queue formed outside before then, full by five past. will definitely be back. A wonderful place for us committed veggies, and would also be enjoyed by the veggie-curious (or even the veggie-reluctant)."
Busy but worth the wait!,>,"My daughter recommended Mildred's above other Vegan restaurants so we thought we would give it a go. We were told it would be an hour wait for a table for 3 , we decided we had done enough walking so settled down for the wait. Just after we got drinks a table came free! 20 mins only. I had a mock tail passion fruit. Really refreshing. The dumpling starter was just great. Difficult to believe it was not meat but we were assured it wasn't. The burger with vegan cheese was good, rather large but even though the texture was spot on and the look just like a good meat burger I did not think the taste was interesting enough. The cheese was good but the beetroot burger just had something missing. Maybe just me as my wife and daughter loved it but were full up and unable to finish it. After a short break we shared a desert, a plumb and blackberry crumble with creme anglaise. All I can say is Amazing!"
"Very good, but don’t complain",Date of visit: October 2017,"Peak time(6ish) this place is very busy. Food is very good. My meal, stir fry, was served warm and I returned it. Attitude to me was bad, almost aggressive. So much so I said “be careful how you talk to me” this meal was only warm, not hot. Too much to ask? Waitress made excuses for the behaviour of her colleague to me. The staff are amateurish. Management need to work on this,as these guys let the place down. Such a shame, as I enjoyed what I had, albeit only warm. They deducted the cost, only after pressure, from the bill. Long way to go guys to make this a special place and give it legs when trade might start to drift."
"Good vegetarian food, very busy",Date of visit: October 2017,"Wanted to visit this place for ages so finally made it for a late weekend lunch in Soho. I arrived at 3pm and people were still queueing to get in. I was quoted a 20-30 minute wait but was actually allocated a table within 15 minutes. Seating is pretty tight and it does feel a bit hectic with so much activity. Staff were friendly and immediately asked about any food allergies.As a starter we shared a plate of gyoza with a chilli & soya dipping sauce, which were utterly delicious. My husband had the buttermilk fried mock chicken, which he enjoyed though he thought his coleslaw tasted a bit too 'healthy'.I had the kimchi broth with bbq tofu, which was nice but not groundbreaking. The charred pak choi in my dish was really great though. The tofu was quite flavoursome.Portion sizes were very generous. I had been worried that my broth might leave me hungry but in actual fact I wasn't able to finish it all.Service was a bit slow with the place heaving, and at one point I had to get myself a fork from another table after mine wasn't replaced.The small plate options looked really interesting - I think I will return at some point to try some of them. I imagine this is a great place for vegans."
I was reccommended this place by London vegans,>  >,"As I went there before diner time a got a place right away. I really was not disappinted, I LOVED their food. I had the burrito with black beans and red rice topped with melted cheddar, tomatillo jalapeno salsa, iceberg lettuce, sour cream, guacamole, raw corn salsa"
Finally!,Date of visit: August 2017,"I finally made it to Mildreds after years of walking past and deciding it looked too busy to get in.Mum and I made a lunch time visit whilst we were in London to purchase my wedding dress. I chose the soul bowl, whilst Mum went for the mushroom and ale pie. Both were absolutely fantastic! Despite being full, neither of us could resist the dessert menu. I went for the brownie, and Mum had the ice-cream with melted chocolate shot. Again, both fantastic!Now I understand why this place is always bouncing, but I will certainly make more of an effort to secure a table next time I'm in London!"
Great Vegan/Gluten Restaurant,Date of visit: October 2017,"Great menu. The Soul Salad and sweet potato fries were delicious. Friendly staff, very busy so recommend getting there early."
,,
Just average,>,"I don't know why people rant and rave about this place as based on my recent visit I just found it OK. On the downside, this place is very crowded and as conducive to a relaxed meal as a visit to a fast food joint, but twice as expensive. As a result of this don't expect anything but brisk service, the staff simply has no time for the punters, is a question of fitting them in mainly.Portions are on the small side too. My flatbread with halloumi would have been an OK starter, but not a main. Juices are also expensive and please note that what they mean by a 'small salad' is indeed the equivalent of a side dish. Flavours are OK, but nothing to write home about and the price/quality ratio is low. Clearly aimed at tourists mainly but they are obviously doing very well so why care?"
Crowded and ho hum food,Date of visit: September 2017,"We went to Mildred's because it was listed as a vegetarian restaurant, and indeed it is. However, the waitstaff was uninterested in helping us with any dietary considerations. For example, I didn't want the mushrooms added to a dish and I got them anyway. My rice dish (can't remember the name) was boring and looked like it was sitting in the kitchen for a while. My husband got a curry which he liked a little better. I wouldn't return to Mildred's."
Birthday meal for a vegan,Date of visit: September 2017,"Everything was served stone cold. Not tepid but cold. My mushroom pie was not only cold but when I sent it back for a hot plate of food, it tasted of one flavour - veg stock. Everyone's burgers were cold and the duck was also cold. My dumplings were tepid. People must be desperate to keep going to this place. When more vegan and vegetarian restaurants open I'm sure it will flounder."
Excellent food and fun atmosphere,>  >  >,"A friend and I visited Mildred's for dinner as part of a mini trip to London. When we arrived the place was absolutely packed, but having read great reviews we decided to wait the predicted 45 minute duration until a table became available. During our wait we got a bottle of the house white (lovely) and took a seat on the stalls near the bar. Only 20 minutes later were we seated- much less than predicted. The seating area is pretty cosy- lots of people in one area so it's also rather loud... but it has a vibrant busy atmosphere that gives the place it's spark and later on in the evening, it starts to die down a little anyway. The food was excellent. I had the halloumi burger which was divine and an order of fries on the side, some of the best chips I have ever had. The staff were very friendly and kind- good service."
Delicious Vegetarian Food,Date of visit: September 2017,"Good reviews and word of mouth lead myself and my girlfriend to this wonderful soho vegetarian institute on a Monday night. We knew the place would be busy even on a weekday but we were more than happy having a few drinks whilst we awaited our table. The staff were very attentive and we weren’t waiting long before being seated even though they were fairly busy.Choosing from the menu was difficult as it all sounds amazing, I would defiantly like to come back and try some of the other dishes on offer. On this occasion we choose the Mexican spiced black beans with feta, grilled pineapple and my partner the Halloumi chargrilled aubergine burger, both were really delicious. We also both really liked the Basil Mayo that they served with the chips a must try.Overall if you looking for a clean, modern, atmospheric, relatively cheap for soho vegetarian fusion restaurant with influences from around the world then Mildreds is a must."
Menu reads better than it eats.,Date of visit: September 2017,"Visited today about 5pm, very lucky to be seated instantly as a large queue formed after we arrived, wife ordered fake fried chicken with chipotle mayo and sweet potato chips, a bit dry for my tastes. My daughter ordered red beans with quinoa which i didnt taste but was informed had no flavour and I ordered Vietnamese fake duck with rice noodles and daikon which was a lacking in any real flavour, the fake duck was overdone and rice noodles so slimey that combined with the bizarre choice to provide lacquered chopsticks to eat with, rendered the meal impossible without reaching for the fork. I'm also pretty sure I was served sliced cucumber masquerading as daikon. The waiting staff seem to have a bit of an attitude too, my wife had heard pretty good things about this restaurant but cant say i would recommend it."
Great Soho Institution for Tastu Vegan Food.,>  >  >,"Mildreds is an institution in an atmospheric and attractive part of wonderful Soho. No bookings - so you often have to wait for up to one hour!The vegan food is excellent and the restaurant, although not romantic, has much more atmosphere than the newly opened Dalston branch (see my review). And the bill - well with really filling main courses (all at £12) this is very cheap dining by Soho standards. So although not cordon bleu vegetarian food (try Terre à Terre in Brighton for that and a much larger bill !), it is both healthy and nutritious vegan food (with beer, wine, etc). And finally, unlike Dalston, it is somewhere that you might go to celebrate a special occasion - I did, and totally enjoyed the whole experience."
Tremendous,Date of visit: September 2017,"I visited here after holding a survey on our Facebook page FCVFRIENDS to find the best vegan place to eat in London and Mildred's won.Not disappointed. Excellent place superb service and the food was to die for !!!! I had the wild mushroom pie,chips and minted mushy peas followed by the brownie and washed down with a vegan lager !!! Will definitely be back you rock !!"
Private dining room,Date of visit: August 2017,"Our party of 8 were booked into the private dining room for lunch on a Saturday for 2 hours. £100 deposit secured the room, and we booked in May for an August reservation. The T&Cs on the confirmation email says minimum of 10 guests or it's at managers discretion if you can remain in room - our party unfortunatly fell short nearer the time, but there wasn't an issue or mentioned that we might not stay in the room. It's a long table with benches in a cosy room upstairs. The service was quite slow and often wondered if we'd been forgotten about between drinks orders and drinks arriving, and then starters arriving (starters were only bread and oil/vinegar). We'd been there an hour when starters were bought out - i had to request the main hurried along as we had another engagement to leave for within the next hour. The food was quite delicious, most of the party ordered aubergine and halloumi burger with sweet potato fries and it was lovely. The only downside was once the bill arrived we were informed we hadn't met the minimum spend so the difference would be deducted from our deposit. However the minimum spend they said was £50 more than what was written in confirmation email. Perhaps this was a genuine mistake and the minimum spend raised in months since i booked, or perhaps it wasn't. But we argued the case having the email proof and they agreed to deduct the full deposit - but made it sound as though they were doing us a favour rather than adhering to their own T&Cs in the email. A disappointing end to a nice meal."
Horrific service,Date of visit: September 2017,"Utterly disappointed. Heard so many great things about Mildred's but left wishing we had gone elsewhere. We ordered the miso aubergine to start to share between two of us. This arrived promptly and was delicious. We put our cutlery on the plate after we finished. The waitress came to take the plate and aggressively swept the cutlery off the plate back into the table, making lots of noise. We were both very shocked and felt awkward after this. Our mains then took a very long time to come, at least half an hour after we had finished our starters. I ordered the mushroom pie and my friend ordered the detox salad with aubergines. The waitress noticed our mains had taken a substantial amount of time and came over to us twice to tell us they were coming. When they arrived the detox salad came with goats cheese instead of tofu which was then taken back to the kitchen and was changed quickly and my pie and chips were like warm. I notified the waitress who offered to take it back to the kitchen but I insisted to eat it as I didn't want it to take any longer and disjoint our meal more. The food was nice but not worth the £12 per main or the hype surrounding this restaurant. Overall we were upset by the attitude of service we received as we were made to feel unwelcome from the start entering the restaurant. Very sorry to have to write a negative review."
,,
Delicious... only one little qualm!,Date of visit: September 2017,"Food was delicious to Mildred's standards, cocktail was absolutely divine and passion fruit tartlet may as well have been paradise. However I was charged about 25% service charge on my meal... not sure why? Hate to be pernickety and paid it anyway but it did put a little dampener on an otherwise faultless evening!"
Terrible Service,Date of visit: September 2017,The food might be nice but the wait for a table and then the service throughout your meal is just terrible. I am just paying for my meal having been here now for 3 hours!! It was supposed to be a quick meal but they just take so long to take your order and do anything. There is also no concept of service with a smile. The food is not worth losing another evening to this place.
Delicious veggie meal,Date of visit: August 2017,I've have visited Mildred's a couple of time before and the food and cocktails have always been amazing. The thing that lets it down is its popularity. Once you are able to get a seat the tables are very tightly compact so you end up invaded other peoples space. Also you feel rushed to finish as the crowd of people wait for a table by the bar. Fighting through the crowd to get out does spoil the evening.
Late Lunch,>,"Mildred’s is a well established restaurant in Soho, and has been there for almost 30 years. It is a vegetarian/vegan restaurant with a wide selection of cuisine from all over the globe, including Japanese, Mexican and European. My daughter and I visited on Monday, around 14:00 and the place was extremely busy. Fortunately, we were seated immediately. The tables are very tightly packed in and there is very little room to move, but the atmosphere was great. The staff were very busy, but also very efficient. We decided on a few small plates which consisted of; gyoza dumplings with sweet chilli and soya dip £6.00 (so pleased we ordered two plates of gyozas as they tasted amazing); chargrilled roman style artichoke crostini with lemon aioli £7.00 (very tasty), and the roasted miso aubergine with ginger and spring onions £4.00 (we enjoyed this, however, a little disappointed the ginger flavour did not come through. This is definitely crammed dining, which you must be prepared for, but we loved the menu, which is particularly great for vegans. We will definitely be back."
Very good food in great location,Date of visit: September 2017,"Dishes are tasty and everything is good here. Crowded and nicely decorated, the rooms are lovely. The waiter was friendly and efficient. I can't wait to come back here."
Mildreds (Dalston Junction) - Great vegan experience!,Date of visit: September 2017,"Few days ago my boyfriend and I decided to try this vegetarian restaurant in Dalston Junction. When we walked in we were quite impressed by the size of the venue, spacious with a clean and modern look. As we made ourselves comfortable the manager explained us the menu and gave us some recommendations on what to try. Since we are both vegans we discovered with enormous pleasure that the menu offers many vegan options to choose from. I went for a superb lentil and tofu burger accompanied by sweet potato fries to dip on a delicious vegan mayo while my bf ordered Mock duck (made of seitan) served with noodles. Both of us were really happy about our mains so we decided to try some of the desserts too. We tried the pannacotta made of coconut milk served with lime and lychee and the merengue (made of aquafaba) and ice cream with passion fruit sauce. I really don't know what I liked more as I had never tried those desserts before. Without any doubt I had the best vegan dessert experience of my life and I can't wait to go back to try more goodness! 10/10"
Absolutely delicious!,Date of visit: September 2017,"We had the mushroom and ale pie a long with the pizette and chips! 100% recommend oh and don't forget your pineapple, apple and strawberry juice!!"
Good vegan food,Date of visit: August 2017,"Come here fairly often (working nearby) - it's always busy, sometimes you have to wait, but the food is always good, fairly priced (not cheap but it's London), and the staff are friendly. It's not life changing but I keep coming back as I know what I'll get and I like the food."
Great veggie food and a buzzing atmosphere,>  >  >  >,"This is a small narrow restaurant and thus gets very busy. There is no booking system so you have to turn up and await your turn. This is made very bearable by the fine range of cocktails available! The food is tasty, plentiful and fresh. There are some lovely desserts and a reasonable wine list. The service was good and friendly. Prices are on the high side but it is in Central London."
